INSTITUICAO_ENSINO_ALUNO_2020,NOME,IDADE_ALUNO_2020,ANOS_PM_2020,FASE_TURMA_2020,PONTO_VIRADA_2020,INDE_2020,INDE_CONCEITO_2020,PEDRA_2020,DESTAQUE_IEG_2020,DESTAQUE_IDA_2020,DESTAQUE_IPV_2020,IAA_2020,IEG_2020,IPS_2020,IDA_2020,IPP_2020,IPV_2020,IAN_2020
Escola Pública,ALUNO-1,11,2,2H,Não,7883752,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8500020000000000,2024-07-08 00:00:00,2024-05-07 00:00:00,7,9375-05-01 00:00:00,7.75,10
Escola Pública,ALUNO-3,12,2,3H,Não,7856389666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,791667,2024-09-08 00:00:00,2024-05-07 00:00:00,2024-05-05 00:00:00,8125,8111113333333330,10
Escola Pública,ALUNO-4,10,2,1D,Não,5076252,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8000020000000000,2024-01-04 00:00:00,6875,0,7.1875,7.75,5
Escola Pública,ALUNO-5,10,1,2M,Não,8077085,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,750002,8,2024-05-07 00:00:00,2024-05-07 00:00:00,4375-08-01 00:00:00,8166665,10
Rede Decisão/União,ALUNO-8,14,3,4L,Sim,8381390666666660,B,Ametista,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,833334,2024-09-09 00:00:00,4375,7333333333333330,8749999999999990,894445,10
Escola Pública,ALUNO-10,13,1,3B,Não,51618745,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,583333,2024-02-05 00:00:00,3.75,0,796875,68333325,10
Escola Pública,ALUNO-11,8,0,0A,Sim,9712504000000000,A,Topázio,Seu destaque em 2020: A sua boa entrega das lições de casa.,Seu destaque em 2020: As suas boas notas na Passos Mágicos.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,10,8125,10,10,1000001,10
Rede Decisão/União,ALUNO-12,14,3,3G,Não,5838887333333330,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,6.25,6,5625,6666666666666660,5624999999999990,5277770000000000,5
Escola Pública,ALUNO-14,11,2,2M,Não,6434585,C,Ágata,Seu destaque em 2020: A sua boa entrega das lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Seu destaque em 2020: A sua boa integração aos Princípios Passos Mágicos.,8000020000000000,2024-06-07 00:00:00,6875,0,4375-08-01 00:00:00,7916665,10
Escola Pública,ALUNO-15,12,1,2D,Não,5162502,D,Quartzo,Ponto a melhorar em 2021: Melhorar a sua entrega de lições de casa.,Ponto a melhorar em 2021: Empenhar-se mais nas aulas e avaliações.,Ponto a melhorar em 2021: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,4,2024-05-07 00:00:00,0,8125,7.25,5
