NOME,FASE_2021,TURMA_2021,INSTITUICAO_ENSINO_ALUNO_2021,SINALIZADOR_INGRESSANTE_2021,PEDRA_2021,INDE_2021,IAA_2021,IEG_2021,IPS_2021,IDA_2021,IPP_2021,REC_EQUIPE_1_2021,REC_EQUIPE_2_2021,REC_EQUIPE_3_2021,REC_EQUIPE_4_2021,PONTO_VIRADA_2021,IPV_2021,IAN_2021,NIVEL_IDEAL_2021,DEFASAGEM_2021
ALUNO-1,2.0,G,Rede Decisão,Ingressante,Ametista,7319,2024-05-07 00:00:00,2024-03-06 00:00:00,2024-09-06 00:00:00,2024-08-08 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-01-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-3,3.0,F,Escola Pública,Veterano,Ametista,7021,2024-01-07 00:00:00,2024-09-06 00:00:00,2024-03-06 00:00:00,2024-06-05 00:00:00,2024-03-07 00:00:00,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não avaliado,Não,2024-02-07 00:00:00,10.0,Nível 3 (7o e 8o ano),0.0
ALUNO-5,2.0,L,Escola Pública,Veterano,Ametista,7399,2024-04-07 00:00:00,2024-05-07 00:00:00,2024-05-07 00:00:00,2024-04-05 00:00:00,2024-05-08 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-04-07 00:00:00,10.0,Nível 2 (5o e 6o ano),0.0
ALUNO-8,5.0,L,Rede Decisão,Veterano,Topázio,8269,2024-08-08 00:00:00,2024-06-08 00:00:00,2024-05-07 00:00:00,2024-01-07 00:00:00,8.0,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase,Mantido na Fase atual,Não,2024-05-08 00:00:00,10.0,Nível 5 (1o EM),0.0
ALUNO-11,1.0,A,Rede Decisão,Veterano,Topázio,8990,9.0,10.0,2024-03-06 00:00:00,2024-08-08 00:00:00,2024-07-07 00:00:00,Promovido de Fase,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Sim,2024-07-09 00:00:00,10.0,Nível 1 (4o ano),0.0
ALUNO-13,0.0,T,Escola Pública,Ingressante,Quartzo,3413,8.0,0.0,2024-05-07 00:00:00,0.8,0.0,Não avaliado,Não avaliado,Não avaliado,Não avaliado,Não,6.0,5.0,Nível 1 (4o ano),-1.0
ALUNO-17,1.0,G,Escola Pública,Veterano,Ágata,6140,2024-05-09 00:00:00,2024-02-04 00:00:00,2024-05-07 00:00:00,2024-06-02 00:00:00,2024-04-08 00:00:00,Não avaliado,Mantido na Fase atual,Mantido na Fase + Bolsa,Não avaliado,Não,2024-08-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-2.0
ALUNO-18,4.0,F,Escola Pública,Veterano,Ágata,5666,10.0,2024-03-03 00:00:00,2024-03-06 00:00:00,2024-03-05 00:00:00,2024-07-07 00:00:00,Mantido na Fase atual,Promovido de Fase + Bolsa,Mantido na Fase atual,Mantido na Fase atual,Não,2024-02-05 00:00:00,5.0,Nível 5 (1o EM),-1.0
ALUNO-19,2.0,C,Escola Pública,Ingressante,Ágata,6751,9.0,2024-03-06 00:00:00,2024-05-07 00:00:00,2024-06-04 00:00:00,2024-07-07 00:00:00,Mantido na Fase atual,Mantido na Fase atual,Mantido na Fase atual,Não avaliado,Não,2024-03-08 00:00:00,5.0,Nível 3 (7o e 8o ano),-1.0
ALUNO-28,4.0,G,Rede Decisão,Ingressante,Topázio,9079,2024-03-08 00:00:00,2024-02-09 00:00:00,2024-05-07 00:00:00,2024-08-08 00:00:00,2024-04-09 00:00:00,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase + Bolsa,Promovido de Fase,Sim,2024-09-09 00:00:00,10.0,Nível 4 (9o ano),0.0
