NOME,FASE_2022,TURMA_2022,ANO_INGRESSO_2022,BOLSISTA_2022,INDE_2022,CG_2022,CF_2022,CT_2022,PEDRA_2022,DESTAQUE_IEG_2022,DESTAQUE_IDA_2022,DESTAQUE_IPV_2022,IAA_2022,IEG_2022,IPS_2022,IDA_2022,NOTA_PORT_2022,NOTA_MAT_2022,NOTA_ING_2022,QTD_AVAL_2022,IPP_2022,REC_AVA_1_2022,REC_AVA_2_2022,REC_AVA_3_2022,REC_AVA_4_2022,INDICADO_BOLSA_2022,PONTO_VIRADA_2022,IPV_2022,IAN_2022,NIVEL_IDEAL_2022
ALUNO-2,0.0,K,2022.0,Não,7675509353106840.0,245.0,66.0,6.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,758170509886757,2024-05-07 00:00:00,8816666666666660,8200000000000000,9433333333333330,,2.0,5625,Mantido na Fase + Bolsa,Mantido na Fase atual,,,Sim,Não,7916665,5.0,Fase 2 (5º e 6º ano)
ALUNO-4,2.0,J,2022.0,Não,7117065047619040.0,451.0,69.0,3.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,8071428571428570,2024-05-07 00:00:00,5083333333333330,5.0,5166666666666660,,3.0,6.25,Promovido de Fase,Mantido na Fase atual,Promovido de Fase,,Não,Não,8055553333333330,5.0,Fase 3 (7º e 8º ano)
ALUNO-5,2.0,L,2019.0,Não,7232336307992200.0,415.0,61.0,12.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,641668,8557504873294340,2024-05-07 00:00:00,7083333333333330,6666666666666660,2024-05-07 00:00:00,,3.0,6458333333333330,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,7833336666666660,5.0,Fase 3 (7º e 8º ano)
ALUNO-6,2.0,K,2022.0,Não,7741668666666660.0,221.0,35.0,2.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,9000020000000000,9333333333333330,2024-05-07 00:00:00,2024-05-05 00:00:00,3.0,8.0,,3.0,6.25,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,2024-05-07 00:00:00,10.0,Fase 2 (5º e 6º ano)
ALUNO-7,1.0,U,2022.0,Não,7406743477025890.0,357.0,93.0,7.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,1000002,9314954051796150,2024-05-07 00:00:00,5583333333333330,4666666666666660,2024-05-06 00:00:00,,2.0,9375-05-01 00:00:00,Promovido de Fase,Promovido de Fase,,,Não,Não,791667,5.0,Fase 2 (5º e 6º ano)
ALUNO-8,5.0,K,2017.0,Sim,7289795442501940.0,397.0,26.0,6.0,Ametista,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,916668,8268065268065260,5.0,7144444444444440,2024-05-06 00:00:00,7666666666666660,7266666666666660,4.0,765625,Promovido de Fase + Bolsa,Mantido na Fase atual,Promovido de Fase + Bolsa,Promovido de Fase,Não,Não,76250025,5.0,Fase 6 (2º EM)
ALUNO-9,0.0,Z,2022.0,Não,5665746204655240.0,767.0,184.0,9.0,Quartzo,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,9000020000000000,6820377689942900,5.0,2133333333333330,2466666666666660,2024-08-01 00:00:00,,2.0,3.75,Mantido na Fase atual,Mantido na Fase atual,,,Não,Não,550001,10.0,ALFA  (2º e 3º ano)
ALUNO-11,1.0,A,2020.0,Sim,8464686539682530.0,40.0,5.0,1.0,Topázio,Destaque: A sua boa entrega das lições de casa.,Destaque: As suas boas notas na Passos Mágicos.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,8000020000000000,9198412698412690,2024-05-07 00:00:00,9833333333333330,10.0,9666666666666660,,3.0,7083333333333330,Promovido de Fase + Bolsa,Promovido de Fase,Promovido de Fase + Bolsa,,Não,Sim,950001,5.0,Fase 2 (5º e 6º ano)
ALUNO-16,1.0,P,2022.0,Não,6995504201058200.0,489.0,129.0,9.0,Ágata,Destaque: A sua boa entrega das lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Melhorar: Integrar-se mais aos Princípios Passos Mágicos.,8500020000000000,933862433862434,6875,6333333333333330,2024-05-05 00:00:00,7166666666666660,,3.0,4791666666666660,Mantido na Fase atual,Promovido de Fase,Mantido na Fase atual,,Não,Não,6722219999999990,5.0,Fase 2 (5º e 6º ano)
ALUNO-17,1.0,G,2018.0,Não,6723325934837090.0,580.0,142.0,6.0,Ágata,Melhorar: Melhorar a sua entrega de lições de casa.,Melhorar: Empenhar-se mais nas aulas e avaliações.,Destaque: A sua boa integração aos Princípios Passos Mágicos.,950002,6647869674185460,2024-05-07 00:00:00,2024-05-05 00:00:00,4333333333333330,6666666666666660,,2.0,9375-05-01 00:00:00,Mantido na Fase atual,Promovido de Fase,,,Não,Não,2024-05-07 00:00:00,5.0,Fase 3 (7º e 8º ano)
