NOME,ANO,FASE,IAA,IAN,IDA,IDADE,IEG,INDE,INGRESSANTE,IPP,IPS,IPV
ALUNO-1,2020,2.0,8.500020000000001,10.0,7.0,11.0,8.7,7.883752,1.0,5.9375,7.5,7.75
ALUNO-1,2021,2.0,7.5,5.0,8.8,12.0,6.3,7.319,1.0,7.7,6.9,8.1
ALUNO-1,2022,,,,,13.0,,,0.0,,,
ALUNO-10,2020,3.0,5.83333,10.0,0.0,13.0,5.2,5.1618745,1.0,7.96875,3.75,6.8333325
ALUNO-10,2021,,,,,14.0,,,0.0,,,
ALUNO-10,2022,,,,,15.0,,,0.0,,,
ALUNO-100,2020,1.0,9.000020000000001,5.0,7.5,12.0,6.5,6.908335000000001,1.0,6.875,4.375,7.916665
ALUNO-100,2021,1.0,8.5,5.0,0.0,13.0,0.0,3.117,0.0,6.3,3.8,3.8
ALUNO-100,2022,2.0,9.000020000000001,5.0,1.666666666666666,14.0,8.475473801560758,6.042318760312152,0.0,6.25,5.0,7.444443333333333
ALUNO-1000,2020,,,,,,,,1.0,,,
ALUNO-1000,2021,,,,,13.0,,,0.0,,,
ALUNO-1000,2022,2.0,9.50002,10.0,2.0,13.0,8.093434343434343,6.686743535353536,1.0,6.458333333333334,7.5,6.611106666666666
ALUNO-1001,2020,,,,,,,,1.0,,,
ALUNO-1001,2021,0.0,9.5,10.0,6.9,13.0,10.0,8.931,1.0,8.4,7.5,10.0
ALUNO-1001,2022,0.0,9.000020000000001,5.0,8.083333333333334,13.0,8.452380952380953,7.382144857142857,0.0,5.625,5.625,7.75
ALUNO-1002,2020,3.0,9.16668,5.0,8.333333333333334,14.0,9.4,8.114724,0.0,8.125,7.5,7.944446666666668
ALUNO-1002,2021,3.0,8.8,5.0,7.5,15.0,8.3,7.693,0.0,7.7,7.5,8.1
ALUNO-1002,2022,4.0,8.75001,5.0,8.277777777777777,16.0,7.515756302521009,7.562874816059757,0.0,7.5,6.875,7.958335
ALUNO-1003,2020,3.0,9.58335,5.0,8.0,14.0,6.8,7.598890333333334,1.0,8.749999999999998,7.5,7.777776666666667
ALUNO-1003,2021,,,,,15.0,,,0.0,,,
ALUNO-1003,2022,,,,,16.0,,,0.0,,,
ALUNO-1004,2020,0.0,9.000020000000001,10.0,9.0,8.0,10.0,7.675002000000001,0.0,2.5,6.25,5.5
ALUNO-1004,2021,0.0,10.0,5.0,6.4,9.0,10.0,7.506,0.0,7.8,6.9,6.3
ALUNO-1004,2022,0.0,10.00002,5.0,8.666666666666668,10.0,9.547511312217194,8.184503595776773,0.0,6.25,7.5,8.33333
ALUNO-1005,2020,,,,,,,,1.0,,,
ALUNO-1005,2021,,,,,13.0,,,0.0,,,
ALUNO-1005,2022,1.0,8.500020000000001,5.0,6.5,13.0,9.833333333333334,7.050000666666667,1.0,5.625,4.375,7.16666
ALUNO-1006,2020,1.0,9.000020000000001,5.0,7.5,10.0,9.4,7.8105573333333345,1.0,7.916666666666668,7.5,7.444443333333333
ALUNO-1006,2021,,,,,11.0,,,0.0,,,
ALUNO-1006,2022,,,,,12.0,,,0.0,,,
ALUNO-1007,2020,2.0,9.500020000000001,10.0,4.0,11.0,8.3,7.5266693333333325,1.0,8.333333333333332,7.5,7.666670000000001
ALUNO-1007,2021,2.0,0.0,5.0,0.8,12.0,1.7,3.752,0.0,7.2,7.5,6.5
ALUNO-1007,2022,,,,,13.0,,,0.0,,,
ALUNO-1008,2020,,,,,,,,1.0,,,
ALUNO-1008,2021,,,,,13.0,,,0.0,,,
ALUNO-1008,2022,0.0,10.00002,10.0,6.299999999999999,13.0,6.641025641025641,7.259040128205128,1.0,5.625,6.25,7.416665
ALUNO-1009,2020,,,,,,,,1.0,,,
ALUNO-1009,2021,0.0,7.0,10.0,6.3,13.0,10.0,7.4,1.0,2.5,7.5,7.2
ALUNO-1009,2022,0.0,9.000020000000001,5.0,8.083333333333332,13.0,9.814814814814817,7.440048629629629,0.0,5.9375,2.5,8.083335
ALUNO-101,2020,,,,,,,,1.0,,,
ALUNO-101,2021,,,,,13.0,,,0.0,,,
ALUNO-101,2022,3.0,7.08333,10.0,6.622222222222223,13.0,7.854166666666666,7.477568777777778,1.0,7.65625,6.25,7.416665
ALUNO-1010,2020,1.0,9.000020000000001,10.0,10.0,9.0,9.9,8.582085,1.0,7.1875,5.0,7.416665
ALUNO-1010,2021,1.0,8.0,5.0,5.2,10.0,10.0,7.449,0.0,7.5,7.5,8.1
ALUNO-1010,2022,2.0,8.500020000000001,10.0,4.5,11.0,8.292972459639126,7.262763158594493,0.0,6.041666666666667,7.5,7.5
ALUNO-1011,2020,,,,,,,,1.0,,,
ALUNO-1011,2021,,,,,13.0,,,0.0,,,
ALUNO-1011,2022,0.0,10.00002,5.0,7.833333333333333,13.0,9.473684210526317,7.790571508771929,1.0,5.625,7.5,7.58333
ALUNO-1012,2020,1.0,8.000020000000001,10.0,10.0,8.0,9.1,8.765835000000001,0.0,8.125,7.5,7.916665
ALUNO-1012,2021,,,,,9.0,,,0.0,,,
ALUNO-1012,2022,,,,,10.0,,,0.0,,,
ALUNO-1013,2020,,,,,,,,1.0,,,
ALUNO-1013,2021,2.0,9.0,5.0,6.1,13.0,7.9,7.292,1.0,8.1,7.5,7.7
ALUNO-1013,2022,,,,,13.0,,,0.0,,,
ALUNO-1014,2020,1.0,8.000020000000001,5.0,5.0,10.0,8.6,6.964446,1.0,7.5,7.5,7.222219999999999
ALUNO-1014,2021,1.0,9.0,5.0,6.3,11.0,8.3,7.636,0.0,8.1,7.5,8.7
ALUNO-1014,2022,1.0,7.416679999999999,5.0,8.833333333333332,12.0,7.425925925925926,7.303241851851853,0.0,6.041666666666667,7.5,7.277776666666666
ALUNO-1015,2020,3.0,9.16668,10.0,6.666666666666667,12.0,7.2,8.052502,1.0,8.125,7.5,9.000003333333332
ALUNO-1015,2021,3.0,9.6,10.0,6.9,13.0,8.9,8.475,0.0,7.9,7.5,9.1
ALUNO-1015,2022,4.0,9.16668,10.0,7.266666666666667,14.0,8.928571428571427,8.67342461904762,0.0,7.96875,9.375,8.91667
ALUNO-1016,2020,2.0,8.500020000000001,5.0,6.0,12.0,9.6,7.433890666666667,1.0,7.916666666666668,7.5,7.11111
ALUNO-1016,2021,2.0,9.0,5.0,1.1,13.0,0.8,4.946,0.0,7.5,7.5,8.3
ALUNO-1016,2022,,,,,14.0,,,0.0,,,
ALUNO-1017,2020,2.0,9.000020000000001,10.0,8.5,11.0,8.8,8.473890666666668,1.0,7.083333333333333,7.5,8.277776666666666
ALUNO-1017,2021,3.0,8.8,10.0,5.8,12.0,7.2,7.844,0.0,7.9,7.5,9.2
ALUNO-1017,2022,4.0,7.91667,10.0,6.888888888888888,13.0,9.05864681295716,7.95721614036921,0.0,7.96875,5.625,8.083335
ALUNO-1018,2020,5.0,8.33334,5.0,0.0,17.0,4.9,4.995277333333333,0.0,8.541666666666666,7.5,5.388883333333333
ALUNO-1018,2021,,,,,18.0,,,0.0,,,
ALUNO-1018,2022,,,,,19.0,,,0.0,,,
ALUNO-1019,2020,5.0,6.24999,5.0,4.333333333333333,17.0,6.5,6.252775000000001,0.0,8.333333333333334,7.5,6.88888
ALUNO-1019,2021,,,,,18.0,,,0.0,,,
ALUNO-1019,2022,,,,,19.0,,,0.0,,,
ALUNO-102,2020,1.0,8.000020000000001,10.0,7.0,9.0,8.5,7.966668666666667,0.0,7.5,7.5,7.833333333333333
ALUNO-102,2021,1.0,6.3,5.0,4.8,10.0,7.5,6.704,0.0,7.9,7.5,7.8
ALUNO-102,2022,1.0,7.333340000000001,5.0,7.666666666666666,11.0,8.941798941798943,7.475860455026456,0.0,6.041666666666667,7.5,7.833333333333333
ALUNO-1020,2020,8.0,8.75001,10.0,7.5,18.0,0.0,6.250001,1.0,0.0,6.875,0.0
ALUNO-1020,2021,,,,,19.0,,,0.0,,,
ALUNO-1020,2022,,,,,20.0,,,0.0,,,
ALUNO-1021,2020,2.0,9.000020000000001,5.0,4.5,12.0,7.8,6.7829180000000004,1.0,7.1875,6.875,7.58333
ALUNO-1021,2021,,,,,13.0,,,0.0,,,
